id_od;Id_do;km;czas
11829;12076;125,3406;2,09
11830;12076;113,1643;1,89
11831;12076;109,7605;1,83
11832;12076;108,7064;1,81
11833;12076;46,9719;0,78
11834;12076;62,0627;1,03
11835;12076;46,7563;0,78
11836;12076;51,5344;0,86
11837;12076;51,8482;0,86
11838;12076;69,1937;1,15
11841;12076;46,1656;0,77
11842;12076;45,2129;0,75
11844;12076;5,9417;0,15
11845;12076;7,2614;0,18
11853;12076;76,2604;1,27
11883;12076;63,3068;1,06
11976;12076;62,6839;1,04
11981;12076;175,8477538;2,93
12031;12076;47,546;0,79
12053;12076;63,947;1,07
12068;12076;94,9722;1,58
12070;12076;52,251;0,87
12086;12076;91,871;1,53
12109;12076;80,552;1,34
12113;12076;44,6062;0,74
12117;12076;10,1759;0,25
12120;12076;52,2473;0,87
12123;12076;50,7909;0,85
12131;12076;105,6293;1,76
12132;12076;83,2224;1,39
11826;12086;145,716;2,43
11829;12086;210,2061;3,5
11830;12086;109,3726;1,82
11831;12086;215,8163;3,6
11832;12086;133,447;2,22
11833;12086;181,1027;3,02
11834;12086;162,5019;2,71
11835;12086;170,6709;2,84
11836;12086;119,3184;1,99
11837;12086;119,1027;1,99
11838;12086;110,546;1,84
11841;12086;135,1543;2,25
11842;12086;134,2016;2,24
11844;12086;96,0167;1,6
11845;12086;93,9133;1,57
11853;12086;114,1009;1,9
11976;12086;151,6726;2,53
11981;12086;184,0827466;3,07
12031;12086;73,337;1,22
12053;12086;116,68;1,94
12068;12086;136,5303;2,28
12070;12086;104,984;1,75
12076;12086;91,3174;1,52
12109;12086;125,596;2,09
12113;12086;133,5948;2,23
12117;12086;96,2999;1,6
12120;12086;118,3399;1,97
12123;12086;74,952;1,25
12131;12086;83,764;1,4
12132;12086;75,225;1,25
11826;12109;53,365;0,89
11827;12109;25,153;0,42
11829;12109;24,975;0,62
11830;12109;53,2983;0,89
11831;12109;59,2062;0,99
11832;12109;58,152;0,97
11833;12109;83,8227;1,4
11834;12109;65,2219;1,09
11835;12109;73,3909;1,22
11836;12109;70,9399;1,18
11837;12109;69,831;1,16
11838;12109;50,099;0,83
11841;12109;70,082;1,17
11842;12109;69,71;1,16
11844;12109;81,56;1,36
11845;12109;75,152;1,25
11853;12109;94,4347;1,57
11883;12109;98,297;1,64
11976;12109;93,243;1,55
11981;12109;210,0076046;3,5
12031;12109;61,117;1,02
12053;12109;21,479;0,54
12068;12109;58,5624;0,98
12070;12109;29,028;0,48
12076;12109;81,598;1,36
12086;12109;126,463;2,11
12113;12109;68,649;1,14
12117;12109;68,351;1,14
12120;12109;69,9614;1,17
12123;12109;71,183;1,19
12131;12109;50,871;0,85
12132;12109;65,782;1,1
11826;12113;67,741;1,13
11831;12113;64,8501;1,08
11832;12113;39,641;0,66
11833;12113;32,5297;0,54
11834;12113;42,374;0,71
11835;12113;40,0646;0,67
11836;12113;39,9825;0,67
11837;12113;40,2964;0,67
11838;12113;30,762;0,51
11841;12113;2,9403;0,07
11842;12113;2,6377;0,07
11844;12113;44,2344;0,74
11845;12113;45,6748;0,76
11853;12113;98,7622;1,65
11883;12113;114,7269;1,91
11976;12113;40,2143;0,67
11981;12113;214,3367292;3,57
12031;12113;63,806;1,06
12053;12113;51,872;0,86
12068;12113;107,4334;1,79
12070;12113;40,176;0,67
12076;12113;43,9866;0,73
12086;12113;207,85;3,46
12109;12113;68,477;1,14
12117;12113;48,5893;0,81
12120;12113;41,1026;0,69
12123;12113;118,8855;1,98
12131;12113;53,56;0,89
12132;12113;110,1934;1,84
11826;12117;120,3049;2,01
11831;12117;101,614;1,69
11832;12117;100,5599;1,68
11833;12117;38,8254;0,65
11834;12117;45,0826;0,75
11835;12117;36,5804;0,61
11836;12117;41,3585;0,69
11837;12117;41,6724;0,69
11838;12117;55,532;0,93
11841;12117;52,1862;0,87
11842;12117;51,2335;0,85
11844;12117;16,8418;0,42
11845;12117;5,2883;0,13
11853;12117;63,7043;1,06
11976;12117;68,7045;1,15
11981;12117;172,6258551;2,88
12031;12117;45,544;0,76
12053;12117;50,349;0,84
12068;12117;76,2829;1,27
12070;12117;38,653;0,64
12076;12117;11,7241;0,29
12086;12117;98,6029;1,64
12109;12117;66,565;1,11
12113;12117;50,6267;0,84
12120;12117;42,0715;0,7
12123;12117;47,569;0,79
12131;12117;36,839;0,61
12132;12117;49,71;0,83
11826;12120;90,3325;1,51
11827;12120;57,5888;0,96
11829;12120;63,7976;1,06
11830;12120;75,0453;1,25
11831;12120;71,6416;1,19
11832;12120;70,5874;1,18
11833;12120;14,476;0,36
11834;12120;5,4235;0,14
11835;12120;5,8113;0,15
11836;12120;1,1201;0,03
11837;12120;0,9044;0,02
11838;12120;18,6459;0,47
11841;12120;43,1658;0,72
11842;12120;42,5671;0,71
11845;12120;46,0063;0,77
11853;12120;59,9352;1
11883;12120;87,08;1,45
11976;12120;80,4398;1,34
11981;12120;175,5097924;2,93
12031;12120;39,68;0,66
12053;12120;25,706;0,43
12068;12120;57,4954;0,96
12070;12120;14,01;0,35
12076;12120;52,4421;0,87
12086;12120;118,6119;1,98
12109;12120;69,7828;1,16
12113;12120;40,8596;0,68
12117;12120;42,4207;0,71
12123;12120;49,0544;0,82
12131;12120;47,3694;0,79
12132;12120;71,3664;1,19
11826;12123;91,019;1,52
11827;12123;115,9709;1,93
11829;12123;122,1798;2,04
11830;12123;131,1937;2,19
11831;12123;127,79;2,13
11832;12123;78,75;1,31
11833;12123;93,0764;1,55
11834;12123;74,4756;1,24
11835;12123;54,4811;0,91
11836;12123;49,7899;0,83
11837;12123;49,5726;0,83
11838;12123;41,828;0,7
11841;12123;122,0398;2,03
11842;12123;121,4411;2,02
11844;12123;56,1275;0,94
11845;12123;47,4676;0,79
11853;12123;26,0746;0,43
11883;12123;43,9544;0,73
11976;12123;107,9902;1,8
11981;12123;125,6620952;2,09
12031;12123;16,362;0,41
12053;12123;61,983;1,03
12068;12123;49,6032;0,83
12070;12123;50,287;0,84
12076;12123;51,0098;0,85
12086;12123;75,4863;1,26
12109;12123;70,898;1,18
12113;12123;119,7336;2
12117;12123;48,7583;0,81
12120;12123;48,8114;0,81
12131;12123;22,205;0,56
12132;12123;33,0366;0,55
11826;12131;137,4637;2,29
11827;12131;66,459;1,11
11829;12131;70,317;1,17
11830;12131;75,917;1,27
11831;12131;118,7728;1,98
11832;12131;117,7187;1,96
11833;12131;84,0592;1,4
11834;12131;65,4601;1,09
11835;12131;73,6291;1,23
11836;12131;69,7554;1,16
11837;12131;70,0692;1,17
11838;12131;80,8647;1,35
11841;12131;70,229;1,17
11842;12131;69,857;1,16
11844;12131;54,792;0,91
11845;12131;79,5193;1,33
11853;12131;12,5883;0,31
11883;12131;47,44;0,79
11976;12131;93,39;1,56
11981;12131;128,1630096;2,14
12031;12131;10,26;0,26
12053;12131;56,381;0,94
12068;12131;21,759;0,54
12070;12131;44,685;0,74
12076;12131;83,0615;1,38
12086;12131;75,606;1,26
12109;12131;65,296;1,09
12113;12131;68,796;1,15
12117;12131;50,213;0,84
12120;12131;69,6524;1,16
12123;12131;20,326;0,51
12132;12131;24,0195;0,6
11826;12132;113,4813;1,89
11827;12132;82,9713;1,38
11829;12132;89,1802;1,49
11830;12132;98,1941;1,64
11831;12132;94,7904;1,58
